id,number,admin_division,pop_2020,pop_2010,pop_2000,pop_1990,pop_1982,pop_1964,pop_1954,pop_1947,pop_1937,pop_1928,pop_1912,p_12_28,p_28_37,p_37_47,p_47_54,p_54_64,p_64_82,p_82_90,p_90_00,p_00_10,p_10_20,non_zero,average
??,0,Xinjiang,25852345,21813334,18459511,15155778,13081681,7270067,4873608,4047000,4360000,2552000,2098000,0.2164,0.7085,-0.0718,0.2043,0.4917,0.7994,0.1585,0.2180,0.1817,0.1852,10.0000,0.309181726
??,1,Tibet,3648100,3002166,2616329,2196010,1892393,1251225,1273969,0,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.0179,0.5124,0.1604,0.1914,0.1475,0.2152,6.0000,0.201508333
???,2,Inner Mongolia,24049155,24706321,23323347,21456798,19274279,12348638,6100104,0,0,0,0,0.0000,0.0000,0.0000,0.0000,1.0243,0.5608,0.1132,0.0870,0.0593,-0.0266,6.0000,0.303016214
??,3,Qinghai,5923957,5626722,4822963,4456946,3895706,2145604,1676534,1308000,1196000,619000,368000,0.6821,0.9321,0.0936,0.2818,0.2798,0.8157,0.1441,0.0821,0.1667,0.0528,10.0000,0.353073468
??,4,Sichuan,83674866,80418200,82348296,107218173,99713310,67956490,62303999,47437000,52706000,47992000,48130000,-0.0029,0.0982,-0.1000,0.3134,0.0907,0.4673,0.0753,-0.2320,-0.0234,0.0405,10.0000,0.072719542
???,5,Heilongjiang,31850088,38312224,36237576,35214873,32665546,20118271,11897309,2844000,3751000,3725000,2029000,0.8359,0.0070,-0.2418,3.1833,0.6910,0.6237,0.0780,0.0290,0.0573,-0.1687,10.0000,0.509469381
??,6,Gansu,25019831,25575254,25124282,22371141,19569261,12630569,12928102,7091000,6716000,6281000,4990000,0.2587,0.0693,0.0558,0.8232,-0.0230,0.5494,0.1432,0.1231,0.0179,-0.0217,10.0000,0.199580052
??,7,Yunnan,47209277,45966239,42360089,36972610,32553817,20509525,17472737,9066000,12042000,13821000,9468000,0.4598,-0.1287,-0.2471,0.9273,0.1738,0.5873,0.1357,0.1457,0.0851,0.0270,10.0000,0.216587066
??,8,Guangxi,50126804,46026629,43854538,42245765,36420960,20845017,19560822,14636000,13385000,13648000,7879000,0.7322,-0.0193,0.0935,0.3365,0.0657,0.7472,0.1599,0.0381,0.0495,0.0891,10.0000,0.229238002
??,9,Hunan,66444864,65683722,63274173,60659754,54008851,37182286,33226954,25558000,28294000,31501000,27617000,0.1406,-0.1018,-0.0967,0.3001,0.1190,0.4525,0.1231,0.0431,0.0381,0.0116,10.0000,0.102968943
??,10,Shaanxi,39528999,37327378,35365072,32882403,28904423,20766915,15881281,10011000,9780000,11802000,9364000,0.2604,-0.1713,0.0236,0.5864,0.3076,0.3918,0.1376,0.0755,0.0555,0.0590,10.0000,0.17261143
??,11,Guangdong,126012510,104303132,85225007,62829236,59299220,42800849,34770059,27210000,32453000,32428000,28011000,0.1577,0.0008,-0.1616,0.2778,0.2310,0.3855,0.0595,0.3565,0.2239,0.2081,10.0000,0.173915713
??,12,Jilin,24073453,27462297,26802191,24658721,22560053,15668663,11290073,6465000,7354000,7635000,5580000,0.3683,-0.0368,-0.1209,0.7463,0.3878,0.4398,0.0930,0.0869,0.0246,-0.1234,10.0000,0.186575312
